id,source,date,statement,title,url
1,PIB,2025-11-21,"An Orientation and Awareness Programme on the Prevention of Sexual Harassment (POSH) Act, 2013 was held in the Department of Water Resources, River Development and Ganga Rejuvenation [DoWR, RD & GR] under the Chairpersonship of Economic Adviser & Chairman, Internal Complaints Committee (ICC). Ms. Janvi Satpal Babbar, Advocate & External Member of ICC delivered a presentation on the provisions of the POSH Act and the Rules framed thereunder. This programme aimed to equip employees of DoWR, RD & GR with a deeper understanding of not only the legal provisions of the Act but also its broader purpose—to promote a culture of dignity and equality at the workplace. The Prevention of Sexual Harassment (POSH) Act, 2013 was enacted in line with the Supreme Court’s landmark Vishaka judgment to ensure a safe, secure and dignified workplace for women. The Act provides a comprehensive legal framework to prevent, prohibit and redress incidents of sexual harassment, clearly defining the offence and outlining the responsibilities of employers to ensure compliance. It mandates the establishment of Internal Complaints Committees (ICCs) in organisations with ten or more employees and emphasises not only a structured redressal mechanism but also proactive measures such as awareness, sensitisation and capacity-building. Through these provisions, the Act seeks to foster a gender-sensitive, respectful and equitable work environment for all employees. ***","Department of WR, RD & GR conducts orientation programme on POSH Act to strengthen workplace safety",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192406
2,PIB,2025-11-21,"Key Takeaways Introduction World Television Day is observed globally on 21 November each year, following the proclamation of the United Nations General Assembly through a Resolution adopted in 1996. The Day recognizes television as a vital medium in informing, educating, and influencing public opinion, and in fostering communication and global understanding. In India, where over 230 million television households reach around 900 million viewers, the Day is observed under the aegis of the Ministry of Information and Broadcasting (MIB) and its public broadcasting network, Prasar Bharati. Activities and outreach programmes by Doordarshan and All India Radio highlight television’s enduring role in public service communication, dissemination of development messages, and promotion of national integration.",World Television Day 2025,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192398
3,PIB,2025-11-21,"In a major boost to India’s biodiversity conservation efforts, the National Biodiversity Authority has released ₹38.36 crore to the Andhra Pradesh Forest Department and ₹1.48 crore to the Andhra Pradesh State Biodiversity Board to protect and conserve the iconic Red Sanders. With this, India’s Access and Benefit Sharing disbursements have crossed an impressive ₹110 crore, marking one of the country’s largest biodiversity-linked ABS releases. Red Sanders, renowned worldwide for its deep red timber, grows naturally only in selected pockets of the Eastern Ghats, particularly in the Anantapur, Chittoor, Kadapa, Prakasam and Kurnool districts of Andhra Pradesh. An amount of ₹87.68 crore was generated through regulated access to auctioned or seized Red Sanders wood by the Andhra Pradesh Forest Department as benefit-sharing amount. So far, the NBA has released over ₹49 crore to forest departments of Andhra Pradesh, Karnataka, Odisha and to the Andhra Pradesh State Biodiversity Board for Red Sanders conservation, protection and research. In addition, ₹3 crore has been distributed to 198 farmers in Andhra Pradesh and ₹55 lakh to 18 farmers in Tamil Nadu. The present release of ₹38.36 crore to Andhra Pradesh Forest Department will further empower frontline forest staff, enhance protection measures, encourage scientific management of Red Sanders forests, create livelihood opportunities through Biodiversity Management Committees, and strengthen long-term monitoring programme marking a si...",NBA released ₹39.84 crore to Andhra Pradesh for Red Sanders Protection and Conservation,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192377
4,PIB,2025-11-21,"I am visiting the Republic of South Africa from 21-23 November, 2025 at the invitation of H.E. Mr. Cyril Ramaphosa, to attend the 20th G20 Leaders' Summit being held in Johannesburg under South Africa’s Presidency. This will be a particularly special Summit given that it would be the first G20 Summit being held in Africa. During India’s Presidency of the G20 in 2023, the African Union had become a member of the G20. The Summit will be an opportunity to discuss key global issues. The theme of this year’s G20 has been ‘Solidarity, Equality and Sustainability’, by which South Africa has carried forward the outcomes from the previous Summits held in New Delhi, India and Rio de Janeiro, Brazil. I will present India’s perspective at the Summit in line with our vision of ‘Vasudhaiva Kutumbakam’ and 'One earth, One Family and One future.’ I look forward to my interactions with leaders of the partner countries, and participation in the 6th IBSA Summit scheduled on the sidelines of the Summit.",Prime Minister’s Departure Statement ahead of his visit to Republic of South Africa,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192372
5,PIB,2025-11-21,"Indian Railways will operate Special Train services to facilitate the smooth and dignified travel of devotees during the commemoration of the Martyrdom Day of Sri Guru Tegh Bahadur Ji, the ninth Sikh Guru revered as Hind Di Chadar. The announcement was made by Shri Ravneet Singh Bittu, Minister of State for Railways and Food Processing Industries . Honouring the Guru’s immortal legacy of sacrifice for religious freedom, truth, and human dignity, Indian Railways is committed to ensuring that pilgrims travelling to Sri Anandpur Sahib receive safe, seamless, and comfortable travel arrangements during this sacred period. Special Train Services To meet the anticipated surge in pilgrim traffic, Indian Railways will operate two dedicated services - one from Patna Sahib and another from Old Delhi starting 22 November 2025.",Indian Railways Announces Special Train Services to Commemorate the Martyrdom Day of Sri Guru Tegh Bahadur Ji,https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192351
6,PIB,2025-11-21,"Belém/New Delhi, 18th November, 2025 Union Minister for Environment, Forest and Climate Change, Shri Bhupender Yadav, addressed the Baku High-Level Dialogue on Adaptation during the UNFCCC CoP30 in Belém, Brazil, on 20.11.2025. He expressed gratitude to the CoP Presidency for convening the dialogue and acknowledged the work of the UNFCCC Secretariat. The Minister highlighted India’s efforts and experiences in accessing adaptation finance, the barriers faced by developing countries, and the global steps needed to raise adaptation ambition. In his intervention, the Minister highlighted the urgent need for scaled-up adaptation finance as the global gap widens. Marking the 10th anniversary of the Paris Agreement, the Minister underscored the importance of Article 7.6, which emphasizes support for developing countries in taking effective adaptation action. He noted, “The 2025 Adaptation Gap Report estimates that developing countries will need between $310 and $365 billion annually by 2035, while current flows are around $26 billion only”. The Minister stressed that a predictable, scaled-up, grant-based and concessional financial support is essential. He expressed concern that the Glasgow Climate Pact goal of doubling public adaptation finance from 2019 levels to around USD 40 billion by 2025 is likely to be missed if the trend continues. “It will take nothing less than a global collective effort to increase climate finance to the levels articulated in the Baku to Belém Roadmap to ...","Union Environment Minister Shri Bhupender Yadav addresses Baku High-Level Dialogue on Adaptation at CoP30, Belém, Brazil",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192347
7,PIB,2025-11-21,"#IFFIWood, 20 November 2025 The 56th International Film Festival of India (IFFI 2025) opened with a spectacular grand parade in Panaji, marking a historic first for the festival. Held on 20 November, the parade transformed the city’s DB Road into a vibrant cultural corridor as floats from film production houses, participating states, and cultural troupes moved from the Old Goa Medical College building to the Kala Academy. Over two dozen floats— including 12 presented by the Goa government—showcased themes celebrating India’s cinematic legacy, animation, and regional identities. The highlight was the large folk production “Bharat Ek Soor”, produced by Central Beauru of Communication under Minstry of Broadcasting & Communication featuring over 100 artists performing traditional dances, along with the appearance of beloved animated characters like Chhota Bheem, Motu Patlu, and Bittu Bahanebaaz, which drew enthusiastic reactions from spectators. The parade created a carnival-like atmosphere across Panaji, turning the festival’s opening into an inclusive public celebration rather than a closed-door ceremony. Thousands of locals, tourists, and delegates lined the streets to witness the floats, cultural performances, and live music, making it one of the most memorable IFFI openings to date. The event successfully blended Goa’s carnival spirit with the festival’s cinematic grandeur, setting an energetic tone for the nine-day celebration that followed. Goa Chief Minister Shri Pramod S...","Grand Parade Marks Historic, Carnival Style Opening of 56th IFFI in Panaji",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192348
8,PIB,2025-11-21,"Belém/New Delhi, 20th November, 2025 Union Minister for Environment, Forest and Climate Change, Shri Bhupender Yadav, addressed the Third Annual High-Level Ministerial Roundtable on Just Transition under the UAE Just Transition Work Programme during UNFCCC CoP30 in Belém, Brazil on 20.11.2025. He welcomed the opportunity to contribute to the ministerial deliberations, noting that the four dialogues held so far have been engaging and a good platform to put across views. The Minister underlined that the dialogues have firmly established that a just transition extends far beyond the energy sector, calling it “an economy-wide, all-inclusive, people-centred transformation that must respect national circumstances, ensure equity, and secure social justice”. He emphasised that such a transition must enable all countries to contribute their fair share to global mitigation efforts without compromising developmental imperatives. Shri Yadav highlighted that just transition inherently includes strengthening resilience, creating employment, protecting livelihoods, eradicating poverty, ensuring food security, and providing social protection. He stressed that each nation must retain the ability to chart its own sustainable development pathways consistent with their national priorities and circumstances.”","India calls for Global Equity and a People-Centric Approach in Just Transition at CoP30, in Belém, Brazil",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192344
9,PIB,2025-11-21,"Union Minister of Ports, Shipping and Waterways Shri Sarbananda Sonowal said the rapid modernisation of India’s inland waterways, particularly in the Northeast, is set to unlock major economic opportunities and strengthen the petroleum supply chain and export routes connecting Assam to Bangladesh and Southeast Asia. Speaking at the North East Oil & Gas Conclave 2025, the Union Minister said, “Under the dynamic leadership of Prime Minister Shri Narendra Modi ji, the renewed focus on Inland Water Transport (IWT) has enabled smooth and swift cargo movement, reduce logistics costs and provide a reliable multimodal network for the movement of petroleum products and industrial cargo across the Brahmaputra and Barak river systems. This has not only revived one of the oldest and proven conduits of economic prosperity but also repurposed the economic activity and prosperity in the hinterland of the region.” The Minister said that jetties and terminals in Assam — including Pandu, Jogighopa, Dhubri, Bogibeel, Karimganj and Badarpur — have emerged as critical hubs for cross-border trade. These river terminals facilitate the export of petroleum products and large industrial consignments to Bangladesh and onward destinations, cutting transit distance, travel time and fuel consumption compared to road transport. Shri Sarbananda Sonowal highlighted that the transport of over-dimensional cargo (ODC) to Numaligarh Refinery for its expansion, and the ongoing movement of petroleum products using...","“Revamped Inland Waterways to Power Northeast’s Growth, Boost Petroleum Exports to from Assam:” Shri Sarbananda Sonowal",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192320
10,PIB,2025-11-21,"Union Minister of Agriculture & Farmers’ Welfare Shri Shivraj Singh Chouhan today released in New Delhi the final estimates of crop production for 2024-25, expressing gratitude to the nation’s farmers for achieving record-high foodgrain output. He also welcomed the encouraging rise in the production of pulses and oilseeds. The Union Minister said India is witnessing the highest increase in foodgrain production in the last ten years. From 251.54 million tonnes in 2015-16, production has risen by 106 million tonnes to reach 357.73 million tonnes. This reflects the rapid growth in the agriculture sector under the leadership of Prime Minister Shri Narendra Modi ji. The Union Agriculture Minister stated that rice production has also reached a record level of 1,501.84 lakh tonnes, which is 123.59 lakh tonnes higher than last year’s 1,378.25 lakh tonnes. Wheat too has registered record growth, rising to 1,179.45 lakh tonnes, an increase of 46.53 lakh tonnes over last year’s 1,132.92 lakh tonnes. Moong production has increased to 42.44 lakh tonnes, soybean to 152.68 lakh tonnes, and groundnut to 119.42 lakh tonnes. Maize and ‘Shri Anna’ (millet) output are estimated at 434.09 lakh tonnes and 185.92 lakh tonnes, respectively, compared to 376.65 lakh tonnes and 175.72 lakh tonnes, respectively, last year. Expressing satisfaction over the strong rise in oilseed production, the Union Minister said that total oilseed output during 2024-25 is estimated at a record 429.89 lakh tonnes, which...","Record foodgrain output breaks all previous highs, adding new chapters of success to India’s agriculture sector",https://pib.gov.in/PressReleaseIframePage.aspx?PRID=2192315
